symbol,signal_date,outcome,model_prob,predicted_win,actual_win,mfe5,mae5,days_to_1atr
ACWI,2021-09-17,DEEP_DRAWDOWN,0.0018837723686245228,False,False,0.8556282313332179,-4.136659323138507,-1.0
ACWI,2021-11-23,DEEP_DRAWDOWN,0.03965620402582905,False,False,-0.0209279089916103,-5.915622274961613,-1.0
ACWI,2021-12-14,DEEP_DRAWDOWN,0.09925408272100172,False,False,1.5428886992705397,-1.5669337179604712,1.0
ACWI,2022-01-10,DEEP_DRAWDOWN,0.1167298323694272,False,False,1.8470156126665236,-1.2700923210644024,1.0
ACWI,2021-12-31,DEEP_DRAWDOWN,0.3295021208874941,False,False,0.9509145773380187,-1.7961719794162372,-3.0
ACWI,2022-04-22,DEEP_DRAWDOWN,0.28211435811320834,False,False,0.13728493539042946,-1.7980978123088025,-1.0
ACWI,2022-04-12,DEEP_DRAWDOWN,0.5561774794916616,True,False,0.9325289076869835,-0.32638511769045225,6.0
ACWI,2022-05-18,WIN,0.8192176165888267,True,True,1.0163593240838624,-0.5972917354805615,5.0
ACWI,2022-06-29,DEEP_DRAWDOWN,0.2649663438523208,False,False,0.6026133211055887,-1.2137141537760452,-1.0
ACWI,2022-09-01,DEEP_DRAWDOWN,0.40844207866352733,False,False,1.7483508001334764,-1.180038124695057,-2.0
ACWI,2022-08-29,DEEP_DRAWDOWN,0.11387446333606051,False,False,0.3205100558093478,-2.5843658930450224,-1.0
ACWI,2022-08-19,DEEP_DRAWDOWN,0.29483624381447243,False,False,-0.11432927184654085,-2.4644309709142287,-1.0
ACWI,2022-12-16,DEEP_DRAWDOWN,0.4446688466907961,False,False,0.6781143705020574,-0.9916511224546289,13.0
ACWI,2022-11-16,DEEP_DRAWDOWN,0.6758235142132224,True,False,0.8322723312715549,-0.7002143598889817,9.0
ACWI,2023-03-10,DEEP_DRAWDOWN,0.7415508405294307,True,False,1.0799233906964931,-1.1567558848962465,2.0
ACWI,2023-01-20,DEEP_DRAWDOWN,0.12274471378224786,False,False,1.7267837920949545,-0.31766305609293954,4.0
ACWI,2023-03-08,DEEP_DRAWDOWN,0.31679382337024903,False,False,0.3674107972180488,-3.6601556634254115,-1.0
ACWI,2023-03-20,WIN,0.6244699038449776,True,True,1.5827398343830863,-0.33341008617755297,2.0
ACWI,2023-05-02,DEEP_DRAWDOWN,0.8402467365575466,True,False,1.0770291128202238,-1.0880192058081752,-2.0
ACWI,2023-06-08,DEEP_DRAWDOWN,0.5439008532777566,True,False,3.2058827208439804,-0.11333928811063423,3.0
ACWI,2023-06-20,DEEP_DRAWDOWN,0.5251115542040754,True,False,-0.02722635599600673,-1.6172455461633508,-3.0
ACWI,2023-08-28,DEEP_DRAWDOWN,0.5513726575714448,True,False,2.2713308945413804,-0.07013610838251082,1.0
ACWI,2023-09-01,DEEP_DRAWDOWN,0.72876365653801,True,False,-0.2521938053778026,-2.0567805905256797,-2.0
ACWI,2023-10-24,DEEP_DRAWDOWN,0.7062839446686584,True,False,-0.41852666117526827,-2.4697672203419794,-1.0
ACWI,2023-11-24,WIN,0.9191262746289387,True,True,1.1561438678082623,-0.48123754903693794,5.0
ACWI,2023-12-20,WIN,0.9036491107470707,True,True,2.829667755802449,0.6454639280038202,1.0
ACWI,2024-02-13,WIN,0.4973950893477574,False,True,2.624217714863581,0.39831876029179847,1.0
ACWI,2024-04-16,DEEP_DRAWDOWN,0.5913631137756095,True,False,1.0925166558985997,-1.3316512028978746,-3.0
ACWI,2024-02-28,WIN,0.7612566854782041,True,True,2.0884225532836913,-0.1328996170271306,2.0
ACWI,2024-05-29,DEEP_DRAWDOWN,0.23843402587292048,False,False,2.158701122040152,-0.9161596273910403,3.0
ACWI,2024-06-25,WIN,0.6313622596702243,True,True,0.7290590976949334,-0.6585049914664044,6.0
ACWI,2024-10-31,WIN,0.6485288945987161,True,True,4.717295741857431,0.11967769323951642,1.0
ACWI,2025-01-27,DEEP_DRAWDOWN,0.03423486881430331,False,False,1.7121216204611605,-1.3106586198012975,3.0
ACWI,2025-01-31,DEEP_DRAWDOWN,0.8493716783777587,True,False,1.1641500194681655,-1.8327496928113802,-1.0
ACWI,2025-02-07,WIN,0.8148711897370275,True,True,2.0281670584538407,-0.13389840774258485,4.0
ACWI,2025-02-13,DEEP_DRAWDOWN,0.631808290137366,True,False,0.4982955274438474,-1.2848611947312665,-5.0
ACWI,2025-04-21,WIN,0.7638733110733071,True,True,2.3006756810009206,0.38019640491116974,2.0
ACWI,2025-04-16,WIN,0.705839632095251,True,True,1.4474062326473334,-0.7407496565368579,4.0
ACWI,2025-04-14,DEEP_DRAWDOWN,0.6105601458373435,True,False,0.2994616734416437,-1.1687727448887428,-4.0
